repetition,cycle,verification_accuracy,actual_accuracy,ICOS_accuracy,SB_accuracy,alarm,actual_accuracy_SC,verification_accuracy_SC,SC_accuracy,alarm_SC
1,1,0.8899999856948853,0.8679999709129333,0.849,N/A,TN,0.8679999709129333,0.8899999856948853,0.887,TN
1,2,0.8899999856948853,0.8610000014305115,0.845,N/A,TN,0.8610000014305115,0.8899999856948853,0.894,TN
1,3,0.8899999856948853,0.8669999837875366,0.842,N/A,TN,0.8669999837875366,0.8899999856948853,0.889,TN
1,4,0.8899999856948853,0.718999981880188,0.703,0.7419557009477069,TP,0.718999981880188,0.8899999856948853,0.882,FN
1,5,0.843999981880188,0.7080000042915344,0.671,0.6940874667806598,TP,0.684,0.8899999856948853,0.874,FN
1,6,0.8019999861717224,0.7369999885559082,0.696,0.7275605791236468,TP,0.704,0.8899999856948853,0.882,FN
1,7,0.800000011920929,0.8899999856948853,0.847,N/A,TN,0.682,0.8899999856948853,0.877,FN
1,8,0.800000011920929,0.890999972820282,0.849,N/A,TN,0.705,0.8899999856948853,0.885,FN
2,1,0.8519999980926514,0.8629999756813049,0.819,N/A,TN,0.8629999756813049,0.8519999980926514,0.895,TN
2,2,0.8519999980926514,0.8550000190734863,0.8069999999999999,N/A,TN,0.8550000190734863,0.8519999980926514,0.875,TN
2,3,0.8519999980926514,0.8550000190734863,0.804,N/A,TN,0.8550000190734863,0.8519999980926514,0.882,TN
2,4,0.8519999980926514,0.6819999814033508,0.64,0.689757188280737,TP,0.682,0.8519999980926514,0.866,FN
2,5,0.8140000104904175,0.7110000252723694,0.6799999999999999,0.7052309178308103,TP,0.685,0.8519999980926514,0.846,FN
2,6,0.8159999847412109,0.8370000123977661,0.757,0.8485105365710867,FP,0.731,0.8519999980926514,0.855,FN
2,7,0.8100000023841858,0.8999999761581421,0.85,N/A,TN,0.688,0.8519999980926514,0.846,FN
2,8,0.8100000023841858,0.9039999842643738,0.833,N/A,TN,0.683,0.8519999980926514,0.855,FN
3,1,0.8460000157356262,0.8429999947547913,0.8260000000000001,N/A,TN,0.8429999947547913,0.8460000157356262,0.855,TN
3,2,0.8460000157356262,0.8539999723434448,0.825,N/A,TN,0.8539999723434448,0.8460000157356262,0.869,TN
3,3,0.8460000157356262,0.8410000205039978,0.8160000000000001,N/A,TN,0.8410000205039978,0.8460000157356262,0.852,TN
3,4,0.8460000157356262,0.6800000071525574,0.6599999999999999,0.6959773465053758,TP,0.6800000071525574,0.8460000157356262,0.844,FN
3,5,0.8299999833106995,0.7310000061988831,0.694,0.7175913527305187,TP,0.7,0.8460000157356262,0.844,FN
3,6,0.8159999847412109,0.7649999856948853,0.732,0.78140921868156,TP,0.69,0.8460000157356262,0.83,FN
3,7,0.8140000104904175,0.871999979019165,0.8280000000000001,N/A,TN,0.696,0.8460000157356262,0.839,FN
3,8,0.8140000104904175,0.8930000066757202,0.862,N/A,TN,0.679,0.8460000157356262,0.845,FN
4,1,0.8640000224113464,0.8790000081062317,0.845,N/A,TN,0.8790000081062317,0.8640000224113464,0.886,TN
4,2,0.8640000224113464,0.875,0.836,N/A,TN,0.875,0.8640000224113464,0.895,TN
4,3,0.8640000224113464,0.8730000257492065,0.829,N/A,TN,0.8730000257492065,0.8640000224113464,0.897,TN
4,4,0.8640000224113464,0.7289999723434448,0.722,0.7363374679808954,TP,0.7289999723434448,0.8640000224113464,0.878,FN
4,5,0.8560000061988831,0.7419999837875366,0.728,0.7321401647718104,TP,0.718,0.8640000224113464,0.871,FN
4,6,0.8140000104904175,0.7889999747276306,0.72,0.7902069380864892,TP,0.711,0.8640000224113464,0.9,FN
4,7,0.8259999752044678,0.9010000228881836,0.866,N/A,TN,0.726,0.8640000224113464,0.893,FN
4,8,0.8259999752044678,0.8920000195503235,0.862,N/A,TN," 0.68",0.8640000224113464,0.871,FN
5,1,0.8539999723434448,0.8410000205039978,0.8260000000000001,N/A,TN,0.8410000205039978,0.8539999723434448,0.88,TN
5,2,0.8539999723434448,0.871999979019165,0.8260000000000001,N/A,TN,0.871999979019165,0.8539999723434448,0.884,TN
5,3,0.8539999723434448,0.8619999885559082,0.835,N/A,TN,0.8619999885559082,0.8539999723434448,0.876,TN
5,4,0.8539999723434448,0.6899999976158142,0.665,0.701635026844469,TP,0.6899999976158142,0.8539999723434448,0.872,FN
5,5,0.8220000267028809,0.7390000224113464,0.694,0.7443647475253332,TP,0.702,0.8539999723434448,0.871,FN
5,6,0.800000011920929,0.7789999842643738,0.718,0.77190849754627,TP,0.697,0.8539999723434448,0.862,FN
5,7,0.8420000076293945,0.878000020980835,0.861,N/A,TN,0.681,0.8539999723434448,0.864,FN
5,8,0.8420000076293945,0.8880000114440918,0.851,N/A,TN,0.712,0.8539999723434448,0.878,FN